Top-level,Top-level,,,,,,,,,,,1
Ambient,Ambient,,,,,,Top-level,,,,,2
Blues,Blues,,,,,,Top-level,,,,,3
Classical,Classical,,,,,,Top-level,,,,,4
Comedy,Comedy,,,,,,Top-level,,,,,5
Country,Country,,,,,,Top-level,,,,,6
Dance,Dance,,,,,,Top-level,,,,,7
Darkwave,Darkwave,,,,,,Top-level,,,,,8
Descriptor Genres,Descriptor Genres,,,,,,Top-level,,,,,9
EDM,EDM,,,,,,Top-level,,,,,10
Electronic,Electronic,,,,,,Top-level,,,,,11
Experimental,Experimental,,,,,,Top-level,,,,,12
Field Recordings,Field Recordings,,,,,,Top-level,,,,,13
Folk,Folk,,,,,,Top-level,,,,,14
Hip Hop,Hip Hop,,,,,,Top-level,,,,,15
Industrial Music,Industrial Music,,,,,,Top-level,,,,,16
Jazz,Jazz,,,,,,Top-level,,,,,17
Metal,Metal,,,,,,Top-level,,,,,18
Musical Theatre,Musical Theatre,,,,,,Top-level,,,,,19
New Age,New Age,,,,,,Top-level,,,,,20
No Genre,No Genre,,,,,,Top-level,,,,,21
Pop,Pop,,,,,,Top-level,,,,,22
Psych,Psych,,,,,,Top-level,,,,,23
Punk,Punk,,,,,,Top-level,,,,,24
R&B,R&B,,,,,,Top-level,,,,,25
Regional Music,Regional Music,,,,,,Top-level,,,,,26
Rock,Rock,,,,,,Top-level,,,,,27
Singer/Songwriter,Singer/Songwriter,,,,,,Top-level,,,,,28
Ska,Ska,,,,,,Top-level,,,,,29
Dance-Pop,Dance-Pop,,,,,,Pop,,,,,30
Dance-Pop,Dance-Pop,,,,,,Dance,,,,,31
2 Tone,2 Tone,Ska,,,,,,,,,,32
A cappella,A cappella,,,,,,Descriptor Genres,,,,,33
Abstract Hip Hop,Abstract Hip Hop,,,,,,Hip Hop,,,,,34
Acid Jazz,Acid Jazz,,,,,,Jazz,,,,,35
Acoustic Blues,Acoustic Blues,,,,,,Blues,,,,,36
Acoustic Rock,Acoustic Rock,,,,,,Rock,,,,,37
Adult Contemporary,Adult Contemporary,Pop,,,,,,,,,,38
African Music,African Music,,,,,,Regional Music,,,,,39
Alt Metal,Alt Metal,,,,,,Metal,,,,,40
Alt Rock,Alt Rock,,,,,,Rock,,,,,41
Alt-Country,Alt-Country,,,,,,Country,,,,,42
Alt-Pop,Alt-Pop,,,,,,Pop,,,,,43
Ambient Pop,Amb~*ent Pop,,,,,,Pop,,,,,44
Americana,Americana,Country,,,,,,,,,,45
Andean New Age,Andean New Age,,,,,,New Age,,,,,46
AOR,AOR,Rock,,,,,,,,,,47
Arabic Music,Arabic Music,,,,,,Regional Music,,,,,48
Art Pop,Art Pop,,,,,,Pop,,,,,49
Art Punk,Art Punk,,,,,,Punk,,,,,50
Art Rock,Art Rock,,,,,,Rock,,,,,51
Avant-Garde Jazz,Avant-Garde Jazz,,,,,,Jazz,,,,,52
Avant-Garde Metal,Avant-Garde Metal,,,,,,Metal,,,,,53
Balkan Music,Balkan Music,,,,,,Regional Music,,,,,54
Baroque Pop,Baroque Pop,,,,,,Pop,,,,,55
Bebop,Bebop,Jazz,,,,,,,,,,56
Big Band,Big Band,Jazz,,,,,,,,,,57
Bit Music,Bit Music,Electronic,,,,,,,,,,58
Black Metal,Black Metal,,,,,,Metal,,,,,59
Blue-Eyed Soul,Blue-Eyed S0ul,Pop,,,,,,,,,,60
Blues Rock,Bl~*es Rock,,,,,,Rock,,,,,61
Boy Band,Boy Band,Pop,,,,,,,,,,62
Brazilian Music,Brazilian Music,,,,,,Regional Music,,,,,63
Breakbeat,Breakbeat,EDM,,,,,,,,,,64
Brill Building,Brill Building,Pop,,,,,,,,,,65
Bubblegum,B~*bblegum,Pop,,,,,,,,,,66
Bubblegum Bass,Bubblegum Bass,EDM,,,,,,,,,,67
C-Pop,C-Pop,,,,,,Pop,,,,,68
Caribbean Music,Caribbean Music,,,,,,Regional Music,,,,,69
Cartoon Music,Cartoon Music,Jazz,,,,,,,,,,70
Celtic New Age,Celtic New Age,,,,,,New Age,,,,,71
Chamber Jazz,Chamber Jazz,,,,,,Jazz,,,,,72
Chanson,Chanson,,,,,,Regional Music,,,,,73
Children's Music,Children's Music,,,,,,Descriptor Genres,,,,,74
Christian Hip Hop,Christian Hip Hop,,,,,,Hip Hop,,,,,75
Christian Rock,Christian Rock,,,,,,Rock,,,,,76
Cinematic Classical,Cinematic Classical,,,,,,Classical,,,,,77
Cloud Rap,Cloud Rap,Hip Hop,,,,,,,,,,78
Conscious Hip Hop,Conscious Hip Hop,,,,,,Hip Hop,,,,,79
Contemporary Country,Contemporary Country,,,,,,Country,,,,,80
Contemporary Folk,Contemporary Folk,,,,,,Folk,,,,,81
Contemporary R&B,Contemporary R&B,,,,,,R&B,,,,,82
Cool Jazz,Cool Jazz,,,,,,Jazz,,,,,83
Country Rock,C0untry Rock,,,,,,Rock,,,,,84
Crunk,Crunk,Hip Hop,,,,,,,,,,85
Dark Cabaret,Dark C~*baret,Rock,,,,,,,,,,86
Dark Jazz,Dark Jazz,,,,,,Jazz,,,,,87
Death Metal,Death Metal,,,,,,Metal,,,,,88
Dirty South,Dirty South,Hip Hop,,,,,,,,,,89
Disco,Disco,Dance,,,,,,,,,,90
Disco Rap,D~*sco Rap,Hip Hop,,,,,,,,,,91
Dixieland,Dixieland,Jazz,,,,,,,,,,92
Doo-Wop,Doo-Wop,R&B,,,,,,,,,,93
Doom Metal,Doom Metal,,,,,,Metal,,,,,94
Downtempo,Downtempo,Electronic,,,,,,,,,,95
Drone (Experimental),Drone (Experimental),,,,,,Experimental,,,,,96
Drone Metal,Drone Metal,,,,,,Metal,,,,,97
Drum and Bass,Drum and Bass,EDM,,,,,,,,,,98
Dubstep,Dubstep,EDM,,,,,,,,,,99
East Asian Music,East Asian Music,,,,,,Regional Music,,,,,100
East Coast Hip Hop,East Coast Hip Hop,,,,,,Hip Hop,,,,,101
Easy Listening,Easy Listening,Pop,,,,,,,,,,102
ECM Style Jazz,ECM Style Jazz,,,,,,Jazz,,,,,103
Electric Blues,Electric Blues,,,,,,Blues,,,,,104
Electro (EDM),Electro (EDM),,,,,,EDM,,,,,105
Electroclash,Electroclash,EDM,,,,,,,,,,106
Emo,Emo,Punk,,,,,,,,,,107
Emo Rap,Em0 Rap,Hip Hop,,,,,,,,,,108
Ethereal Wave,Ethereal Wave,Darkwave,,,,,,,,,,109
Europop,Europop,Pop,,,,,,,,,,110
Experimental Hip Hop,Exp~*rimental Hip Hop,,,,,,Hip Hop,,,,,111
Experimental Rock,Exp~*rimental Rock,,,,,,Rock,,,,,112
Folk Metal,F0lk Metal,,,,,,Metal,,,,,113
Folk Rock,F0lk Rock,,,,,,Rock,,,,,114
Folktronica,F0lktronica,Electronic,,,,,,,,,,115
Free Improvisation,Free Improvisation,Experimental,,,,,,,,,,116
French Pop,French Pop,,,,,,Pop,,,,,117
Funk,Funk,R&B,,,,,Top-level,,,,,118
Funk Rock,F~*nk Rock,,,,,,Rock,,,,,119
Funktronica,F~*nktronica,EDM,,,,,,,,,,120
Future Bass,Future Bass,EDM,,,,,,,,,,121
G-Funk,G-F~*nk,Hip Hop,,,,,,,,,,122
Garage Rock,Garage Rock,,,,,,Rock,,,,,123
Girl Group,Girl Group,Pop,,,,,,,,,,124
Glam Rock,Glam Rock,,,,,,Rock,,,,,125
Glitch Hop,Glitch Hop,Electronic,,,,,,,,,,126
Greek Music,Greek Music,,,,,,Regional Music,,,,,127
Grime,Grime,Electronic,,,,,,,,,,128
Groove Metal,Groove Metal,,,,,,Metal,,,,,129
Hard Rock,Hard Rock,,,,,,Rock,,,,,130
Hardcore (EDM),Hardcore (EDM),,,,,,EDM,,,,,131
Hardcore Hip Hop,Hardcore Hip Hop,,,,,,Hip Hop,,,,,132
Heartland Rock,Heartland Rock,,,,,,Rock,,,,,133
Heavy Metal,Heavy Metal,,,,,,Metal,,,,,134
HexD,HexD,Electronic,,,,,,,,,,135
Hispanic Music,Hispanic Music,,,,,,Regional Music,,,,,136
Holiday Music,Holiday Music,,,,,,Descriptor Genres,,,,,137
Honky Tonk,Honky Tonk,Country,,,,,,,,,,138
House,House,EDM,,,,,,,,,,139
Hyphy,Hyphy,Hip Hop,,,,,,,,,,140
IDM,IDM,Electronic,,,,,,,,,,141
Illbient,Illbient,Electronic,,,,,,,,,,142
Indie Pop,Indie Pop,,,,,,Pop,,,,,143
Indietronica,Indietronica,Electronic,,,,,,,,,,144
Instrumental Hip Hop,Instrumental Hip Hop,,,,,,Hip Hop,,,,,145
J-Pop,J-Pop,,,,,,Pop,,,,,146
Japanese Hip Hop,Japanese Hip Hop,,,,,,Hip Hop,,,,,147
Jazz Fusion,Jazz Fusion,,,,,,Jazz,,,,,148
Jazz Pop,J~*zz Pop,,,,,,Pop,,,,,149
Jazz Rap,J~*zz Rap,Hip Hop,,,,,,,,,,150
Jazz-Rock,J~*zz-Rock,,,,,,Rock,,,,,151
K-Pop,K-Pop,,,,,,Pop,,,,,152
Latin Rap,Latin Rap,Hip Hop,,,,,,,,,,153
Mashup,Mashup,,,,,,Descriptor Genres,,,,,154
Math Rock,Math Rock,,,,,,Rock,,,,,155
Miami Bass,Miami Bass,Hip Hop,,,,,,,,,,156
Minimal Wave,Minimal Wave,Electronic,,,,,,,,,,157
Mobb Music,Mobb Music,Hip Hop,,,,,,,,,,158
Mod,M0d,Rock,,,,,,,,,,159
Modal Jazz,Modal Jazz,,,,,,Jazz,,,,,160
Modern Classical,Modern Classical,,,,,,Classical,,,,,161
Moombahton,Moombahton,EDM,,,,,,,,,,162
Musical Comedy,Musical Comedy,,,,,,Comedy,,,,,163
Musical Parody,Musical Parody,,,,,,Descriptor Genres,,,,,164
Nature Recordings,Nature Recordings,Field Recordings,,,,,,,,,,165
Neo-Psychedelia,Neo-Psychedelia,,,,,,Psych,,,,,166
Neoclassical Darkwave,Neocl~*ssical Darkwave,,,,,,Darkwave,,,,,167
Neoclassical New Age,Neocl~*ssical New Age,,,,,,New Age,,,,,168
Nerdcore,Nerdcore,Hip Hop,,,,,,,,,,169
New Orleans Blues,New Orleans Blues,,,,,,Blues,,,,,170
New Orleans R&B,New Orleans R&B,,,,,,R&B,,,,,171
New Wave,New Wave,Rock,,,,,,,,,,172
Nightcore,Nightcore,Electronic,,,,,,,,,,173
Noise,Noise,Experimental,,,,,,,,,,174
Noise Rock,N0ise Rock,,,,,,Rock,,,,,175
Novelty,Novelty,,,,,,Descriptor Genres,,,,,176
Nu Jazz,Nu J~*zz,Electronic,,,,,,,,,,177
Palingsound,Palingsound,Pop,,,,,,,,,,178
Piano Blues,Piano Blues,,,,,,Blues,,,,,179
Plunderphonics,Plunderphonics,Experimental,,,,,,,,,,180
Political Hip Hop,Political Hip Hop,,,,,,Hip Hop,,,,,181
Polynesian Music,Polynesian Music,,,,,,Regional Music,,,,,182
Pop Rap,P0p Rap,Hip Hop,,,,,,,,,,183
Post-Bop,Post-Bop,Jazz,,,,,,,,,,184
Post-Hardcore,Post-Hardcore,Punk,,,,,,,,,,185
Post-Industrial,Post-Industrial,,,,,,Industrial Music,,,,,186
Post-Metal,Post-Metal,,,,,,Metal,,,,,187
Post-Punk,Post-Punk,,,,,,Punk,,,,,188
Post-Rock,Post-Rock,,,,,,Rock,,,,,189
Power Metal,Power Metal,,,,,,Metal,,,,,190
Prog Rock,Prog Rock,,,,,,Rock,,,,,191
Progressive Country,Progressive Country,,,,,,Country,,,,,192
Progressive Electronic,Progressive Electronic,,,,,,Electronic,,,,,193
Progressive Metal,Progressive Metal,,,,,,Metal,,,,,194
Progressive Pop,Progressive Pop,,,,,,Pop,,,,,195
Proto-Punk,Proto-Punk,,,,,,Punk,,,,,196
Psybient,Psybient,Electronic,,,,,,,,,,197
Pub Rock,Pub Rock,,,,,,Rock,,,,,198
Rap Rock,Rap Rock,,,,,,Rock,,,,,199
Reductionism,Reductionism,Experimental,,,,,,,,,,200
Rhythm & Blues,Rhythm & Bl~*es,R&B,,,,,,,,,,201
Rock & Roll,Rock & Roll,,,,,,Rock,,,,,202
Roots Rock,Roots Rock,,,,,,Rock,,,,,203
Satire,Satire,,,,,,Descriptor Genres,,,,,204
Shibuya-kei,Shibuya-kei,Pop,,,,,,,,,,205
Show Tunes,Show Tunes,Musical Theatre,,,,,,,,,,206
Sketch Comedy,Sketch Comedy,,,,,,Comedy,,,,,207
Sludge Metal,Sludge Metal,,,,,,Metal,,,,,208
Smooth Jazz,Smooth Jazz,,,,,,Jazz,,,,,209
Snap,Snap,Hip Hop,,,,,,,,,,210
Sophisti-Pop,Sophisti-Pop,,,,,,Pop,,,,,211
Soul,Soul,R&B,,,,,Top-level,,,,,212
Soul Blues,S0ul Blues,,,,,,Blues,,,,,213
Soul Jazz,S0ul Jazz,,,,,,Jazz,,,,,214
Sound Collage,Sound Collage,Experimental,,,,,,,,,,215
Soundtrack,Soundtrack,,,,,,Descriptor Genres,,,,,216
South Asian Music,South Asian Music,,,,,,Regional Music,,,,,217
Southeast Asian Music,Southeast Asian Music,,,,,,Regional Music,,,,,218
Southern Hip Hop,Southern Hip Hop,,,,,,Hip Hop,,,,,219
Southern Metal,Southern Metal,,,,,,Metal,,,,,220
Southern Rock,Southern Rock,,,,,,Rock,,,,,221
Space Ambient,Space Ambient,,,,,,Ambient,,,,,222
Spacesynth,Spacesynth,EDM,,,,,,,,,,223
Speed Metal,Speed Metal,,,,,,Metal,,,,,224
Spoken Word,Spoken Word,,,,,,Descriptor Genres,,,,,225
Stoner Metal,Stoner Metal,,,,,,Metal,,,,,226
Sunshine Pop,Sunshine Pop,,,,,,Pop,,,,,227
Surf,Surf,Rock,,,,,,,,,,228
Swing,Sw~*ng,Jazz,,,,,,,,,,229
Symphonic Metal,Symphonic Metal,,,,,,Metal,,,,,230
Symphonic Rock,Symphonic Rock,,,,,,Rock,,,,,231
Synthwave,Synthwave,Electronic,,,,,,,,,,232
Tape Music,Tape Music,Experimental,,,,,,,,,,233
Techno,Techno,EDM,,,,,,,,,,234
Teen Pop,Teen Pop,,,,,,Pop,,,,,235
Third Stream,Third Stream,Jazz,,,,,,,,,,236
Third Wave Ska,Third Wave Ska,,,,,,Ska,,,,,237
Thrash Metal,Thrash Metal,,,,,,Metal,,,,,238
Traditional Pop,Traditional Pop,,,,,,Pop,,,,,239
Trance,Trance,EDM,,,,,,,,,,240
Trap (EDM),Trap (EDM),,,,,,EDM,,,,,241
Trap (Hip Hop),Trap (Hip Hop),,,,,,Hip Hop,,,,,242
Tribal Ambient,Tribal Ambient,,,,,,Ambient,,,,,243
Turntable Music,Turntable Music,Experimental,,,,,,,,,,244
Turntablism,Turntablism,Hip Hop,,,,,,,,,,245
UK Bass,UK Bass,EDM,,,,,,,,,,246
UK Garage,UK Garage,EDM,,,,,,,,,,247
UK Hip Hop,UK Hip Hop,,,,,,Hip Hop,,,,,248
Vaporwave,Vaporwave,Electronic,,,,,,,,,,249
Vaudeville Blues,Vaudeville Blues,,,,,,Blues,,,,,250
Vocal Jazz,Vocal Jazz,,,,,,Jazz,,,,,251
West Asian Music,West Asian Music,,,,,,Regional Music,,,,,252
West Coast Hip Hop,West Coast Hip Hop,,,,,,Hip Hop,,,,,253
Western Classical,Western Classical,,,,,,Classical,,,,,254
Wonky,Wonky,EDM,,,,,,,,,,255
Yé-yé,Yé-yé,Pop,,,,,,,,,,256
Traditional Folk,Traditional Folk,,,,,,Folk,,,,,257
Traditional Folk,Traditional Folk,,,,,,Regional Music,,,,,258
Punk Rock,Punk Rock,,,,,,Rock,,,,,259
Punk Rock,Punk Rock,,,,,,Punk,,,,,260
Psychedelic Rock,Psychedelic Rock,,,,,,Rock,,,,,261
Psychedelic Rock,Psychedelic Rock,,,,,,Psych,,,,,262
Pop Rock,Pop Rock,,,,,,Pop,,,,,263
Pop Rock,Pop Rock,,,,,,Rock,,,,,264
Psychedelic Folk,Psychedelic Folk,Contemporary Folk,,,,,Folk,,,,,265
Psychedelic Folk,Psychedelic Folk,Contemporary Folk,,,,,Psych,,,,,266
Eurodance,Eurodance,EDM,Dance-Pop,,,,Pop,,,,,267
Eurodance,Eurodance,EDM,Dance-Pop,,,,,,,,,268
Synthpop,Synthpop,Electronic,Pop,,,,,,,,,269
Synthpop,Synthpop,Electronic,Pop,,,,,,,,,270
Pop Soul,Pop Soul,R&B,,,,,Pop,,,,,271
Pop Soul,Pop Soul,R&B,,,,,Soul,,,,,272
Hardcore Punk,Hardcore Punk,Punk Rock,,,,,Punk,,,,,273
European Folk Music,European Folk Music,Traditional Folk,,,,,Folk,,,,,274
2-Step,2-Step,UK Garage,EDM,,,,,,,,,275
Acid House,Acid House,EDM,,,,,,,,,,276
Acid Techno,Acid Techno,EDM,,,,,,,,,,277
Acid Trance,Acid Trance,EDM,,,,,,,,,,278
Acidcore,Acidcore,Hardcore (EDM),,,,,EDM,,,,,279
Afro-House,Afro-House,EDM,,,,,,,,,,280
Alt R&B,Alt R&B,Contemporary R&B,,,,,R&B,,,,,281
Ambient House,Amb~*ent House,EDM,,,,,,,,,,282
Ambient Techno,Amb~*ent Techno,EDM,,,,,,,,,,283
Ambient Trance,Amb~*ent Trance,EDM,,,,,,,,,,284
American Primitivism,American Primitivism,Contemporary Folk,,,,,Folk,,,,,285
Anti-Folk,Anti-Folk,Contemporary Folk,,,,,Folk,,,,,286
Atlanta Bass,Atlanta Bass,Miami Bass,Hip Hop,,,,,,,,,287
Atmospheric Black Metal,Atmospheric Black Metal,,,,,,Metal,,,,,288
Atmospheric Drum and Bass,Atmospheric Drum and Bass,EDM,,,,,,,,,,289
Atmospheric Sludge Metal,Atmospheric Sludge Metal,,,,,,Metal,,,,,290
Avant-Folk,Avant-Folk,Contemporary Folk,,,,,Folk,,,,,291
Baggy / Madchester,Baggy / Madchester,Alt Rock,,,,,Rock,,,,,292
Balearic Beat,Balearic Beat,House,EDM,,,,,,,,,293
Baroque Music,Baroque Music,Western Classical,,,,,Classical,,,,,294
Bassline,Bassline,UK Garage,EDM,,,,,,,,,295
Bedroom Pop,Bedroom Pop,Indie Pop,,,,,Pop,,,,,296
Berlin School,Berlin School,Progressive Electronic,,,,,Electronic,,,,,297
Big Beat,Big Beat,Breakbeat,EDM,,,,,,,,,298
Black 'n' Roll,Black 'n' Roll,Black Metal,,,,,Metal,,,,,299
Bleep Techno,Bleep Techno,EDM,,,,,,,,,,300
Boom Bap,Boom Bap,Hardcore Hip Hop,,,,,Hip Hop,,,,,301
Bossa nova,Bossa nova,Brazilian Music,,,,,Regional Music,,,,,302
Breakcore,Breakcore,Hardcore (EDM),,,,,EDM,,,,,303
British Folk Rock,British F0lk Rock,,,,,,Rock,,,,,304
Brostep,Brostep,Dubstep,EDM,,,,,,,,,305
Brutal Death Metal,Brutal Death Metal,,,,,,Metal,,,,,306
Carols,Carols,Holiday Music,,,,,Descriptor Genres,,,,,307
Celtic Rock,Celtic Rock,Folk Rock,,,,,Rock,,,,,308
Central African Music,Central African Music,,,,,,Regional Music,,,,,309
Chamber Folk,Chamber Folk,Contemporary Folk,,,,,Folk,,,,,310
Chamber Music,Chamber Music,Western Classical,,,,,Classical,,,,,311
Chamber Pop,Chamber Pop,Indie Pop,,,,,Pop,,,,,312
Chicago Blues,Chicago Blues,Electric Blues,,,,,Blues,,,,,313
Chicago House,Chicago House,EDM,,,,,,,,,,314
Chicago Soul,Chicago Soul,R&B,,,,,Soul,,,,,315
Chillstep,Chillstep,Dubstep,EDM,,,,,,,,,316
Chillwave,Chillwave,Indietronica,Electronic,,,,,,,,,317
Chiptune,Chiptune,Bit Music,Electronic,,,,,,,,,318
City Pop,City Pop,Adult Contemporary,,,,,Pop,,,,,319
Classical Period,Classical Period,Western Classical,,,,,Classical,,,,,320
Classical Waltz,Classical Waltz,Western Classical,,,,,Classical,,,,,321
Comedy Rock,Comedy Rock,Musical Comedy,,,,,Comedy,,,,,322
Country Soul,C0untry Soul,R&B,,,,,Soul,,,,,323
Crunkcore,Crunkcore,Hip Hop,,,,,,,,,,324
Dancefloor Drum and Bass,Dancefloor Drum and Bass,EDM,,,,,,,,,,325
Deep Funk,Deep Funk,R&B,,,,,Funk,,,,,326
Deep House,Deep House,EDM,,,,,,,,,,327
Deep Soul,Deep Soul,R&B,,,,,Soul,,,,,328
Depressive Black Metal,Depressive Black Metal,,,,,,Metal,,,,,329
Detroit Techno,Detroit Techno,EDM,,,,,,,,,,330
Dream Pop,Dream P0p,Alt Rock,,,,,Rock,,,,,331
Dream Trance,Dream Trance,EDM,,,,,,,,,,332
Drill and Bass,Drill and Bass,IDM,Electronic,,,,,,,,,333
Dutch House,Dutch House,EDM,,,,,,,,,,334
East African Music,East African Music,,,,,,Regional Music,,,,,335
Electric Texas Blues,Electric Texas Blues,Electric Blues,,,,,Blues,,,,,336
Electro House,Electro House,EDM,,,,,,,,,,337
Emo-Pop,Emo-P0p,Punk,,,,,,,,,,338
Euro House,Euro House,EDM,,,,,,,,,,339
Euro-Disco,Euro-Disco,Dance,,,,,,,,,,340
Euro-Trance,Euro-Trance,EDM,,,,,,,,,,341
Film Soundtrack,Film Soundtrack,,,,,,Descriptor Genres,,,,,342
Folk Baroque,Folk Baroque,Contemporary Folk,,,,,Folk,,,,,343
Free Jazz,Free Jazz,Avant-Garde Jazz,,,,,Jazz,,,,,344
French House,French House,EDM,,,,,,,,,,345
Funky House,F~*nky House,EDM,,,,,,,,,,346
Future Garage,Future Garage,UK Garage,EDM,,,,,,,,,347
Future House,Future House,EDM,,,,,,,,,,348
Gabber,Gabber,Hardcore (EDM),,,,,EDM,,,,,349
Gangsta Rap,Gangsta Rap,Hardcore Hip Hop,,,,,Hip Hop,,,,,350
Garage House,Garage House,EDM,,,,,,,,,,351
Garage Rock Revival,Garage Rock Revival,,,,,,Rock,,,,,352
Ghetto House,Ghetto House,EDM,,,,,,,,,,353
Goa Trance,Goa Trance,EDM,,,,,,,,,,354
Gothic Country,Gothic Country,Alt-Country,,,,,Country,,,,,355
Grunge,Grunge,Alt Rock,,,,,Rock,,,,,356
Halftime,Halftime,Drum and Bass,EDM,,,,,,,,,357
Hard Bop,Hard Bop,Bebop,Jazz,,,,,,,,,358
Hard Trance,Hard Trance,EDM,,,,,,,,,,359
Hardstep,Hardstep,Drum and Bass,EDM,,,,,,,,,360
Harsh Noise,Harsh Noise,Experimental,,,,,,,,,,361
Hawaiian Music,Hawaiian Music,Polynesian Music,,,,,Regional Music,,,,,362
Hip House,Hip House,EDM,,,,,,,,,,363
Horrorcore,Horrorcore,Hardcore Hip Hop,,,,,Hip Hop,,,,,364
Hypnagogic Pop,Hypnagogic Pop,Neo-Psychedelia,,,,,Psych,,,,,365
Ibiza Trance,Ibiza Trance,EDM,,,,,,,,,,366
Impressionism,Impressionism,Western Classical,,,,,Classical,,,,,367
Indie Folk,Indie Folk,Contemporary Folk,,,,,Folk,,,,,368
Indie Rock,Indie Rock,Alt Rock,,,,,Rock,,,,,369
Industrial Hip Hop,Industrial Hip Hop,Experimental Hip Hop,,,,,Hip Hop,,,,,370
Italo House,Italo House,EDM,,,,,,,,,,371
Jamaican Music,Jamaican Music,Caribbean Music,,,,,Regional Music,,,,,372
Japanese Music,Japanese Music,East Asian Music,,,,,Regional Music,,,,,373
Jazzstep,J~*zzstep,Drum and Bass,EDM,,,,,,,,,374
Jump-Up,Jump-Up,Drum and Bass,EDM,,,,,,,,,375
Jungle,Jungle,Drum and Bass,EDM,,,,,,,,,376
Latin American Music,Latin American Music,Hispanic Music,,,,,Regional Music,,,,,377
Library Music,Library Music,Soundtrack,,,,,Descriptor Genres,,,,,378
Liquid Funk,Liquid F~*nk,Drum and Bass,EDM,,,,,,,,,379
Lounge,Lounge,Easy Listening,Pop,,,,,,,,,380
Mandopop,Mandopop,C-Pop,,,,,Pop,,,,,381
Melodic Death Metal,Melodic Death Metal,,,,,,Metal,,,,,382
Melodic Dubstep,Melodic Dubstep,EDM,,,,,,,,,,383
Memphis Rap,Memphis Rap,Hardcore Hip Hop,,,,,Hip Hop,,,,,384
Microhouse,Microhouse,EDM,House,,,,,,,,,385
Microtonal,Microtonal,Modern Classical,,,,,Classical,,,,,386
Minimal Drum and Bass,Minimal Drum and Bass,EDM,,,,,,,,,,387
Minimal Synth,Minimal Synth,Minimal Wave,Electronic,,,,,,,,,388
Minimal Techno,Minimal Techno,EDM,,,,,,,,,,389
Minimalism,Minimalism,Modern Classical,,,,,Classical,,,,,390
Mod Revival,M0d Revival,Rock,,,,,,,,,,391
Moombahcore,Moombahcore,Moombahton,EDM,,,,,,,,,392
MPB,MPB,Brazilian Music,,,,,Regional Music,,,,,393
Native American Music,Native American Music,Traditional Folk,,,,,Folk,,,,,394
Neo-Soul,Neo-Soul,R&B,,,,,Soul,,,,,395
Neofolk,Neofolk,Contemporary Folk,,,,,Folk,,,,,396
Neue Deutsche Welle,Neue Deutsche Welle,New Wave,Rock,,,,,,,,,397
New Jack Swing,New Jack Swing,Contemporary R&B,,,,,R&B,,,,,398
Noise Pop,N0ise P0p,Alt Rock,,,,,Rock,,,,,399
North African Music,North African Music,,,,,,Regional Music,,,,,400
Northeastern African Music,Northeastern African Music,,,,,,Regional Music,,,,,401
Northern Soul,Northern Soul,R&B,,,,,Soul,,,,,402
Nu Metal,Nu Metal,Alt Metal,,,,,Metal,,,,,403
NWOBHM,NWOBHM,Heavy Metal,,,,,Metal,,,,,404
Onkyo,Onkyo,Reductionism,Experimental,,,,,,,,,405
Orchestral,Orchestral,Western Classical,,,,,Classical,,,,,406
Outlaw Country,Outlaw Country,Progressive Country,,,,,Country,,,,,407
P-Funk,P-Funk,R&B,,,,,Funk,,,,,408
Pagan Black Metal,Pagan Black Metal,,,,,,Metal,,,,,409
Philly Soul,Philly Soul,R&B,,,,,Soul,,,,,410
Poetry,Poetry,Spoken Word,,,,,Descriptor Genres,,,,,411
Pop Punk,P0p Punk,Punk Rock,,,,,Punk,,,,,412
Post-Grunge,Post-Gr~*nge,Alt Rock,,,,,Rock,,,,,413
Post-Minimalism,Post-M~*nimalism,Modern Classical,,,,,Classical,,,,,414
Progressive Big Band,Progressive Big Band,Jazz,,,,,,,,,,415
Progressive Folk,Progressive Folk,Contemporary Folk,,,,,Folk,,,,,416
Progressive House,Progressive House,EDM,,,,,,,,,,417
Progressive Trance,Progressive Trance,EDM,,,,,,,,,,418
Psytrance,Psytrance,EDM,Trance,,,,,,,,,419
Punk Blues,Punk Bl~*es,Punk Rock,,,,,Punk,,,,,420
Purple Sound,Purple Sound,Dubstep,EDM,,,,,,,,,421
Rap Metal,Rap Metal,Alt Metal,,,,,Metal,,,,,422
Riot Grrrl,Riot Grrrl,Punk Rock,,,,,Punk,,,,,423
Rockabilly,Rockabilly,Rock & Roll,,,,,Rock,,,,,424
Romanticism,Romanticism,Western Classical,,,,,Classical,,,,,425
Samba,Samba,Brazilian Music,,,,,Regional Music,,,,,426
Sequencer & Tracker,Sequencer & Tracker,Bit Music,Electronic,,,,,,,,,427
Shoegaze,Shoegaze,Alt Rock,,,,,Rock,,,,,428
Skiffle,Skiffle,Contemporary Folk,,,,,Folk,,,,,429
Smooth Soul,Smooth Soul,R&B,,,,,Soul,,,,,430
Sonorism,Sonorism,Modern Classical,,,,,Classical,,,,,431
Southern African Music,Southern African Music,,,,,,Regional Music,,,,,432
Southern Soul,Southern Soul,R&B,,,,,Soul,,,,,433
Space Age Pop,Space Age Pop,Easy Listening,,,,,Pop,,,,,434
Spaghetti Western,Spaghetti Western,Modern Classical,,,,,Classical,,,,,435
Spanish Music,Spanish Music,Hispanic Music,,,,,Regional Music,,,,,436
Speed Garage,Speed Garage,UK Garage,EDM,,,,,,,,,437
Spiritual Jazz,Spiritual Jazz,Avant-Garde Jazz,,,,,Jazz,,,,,438
